Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Karangkobar,unggas,Ayam Ras Layer,2024,7198
Karangkobar,unggas,Ayam Broiler,2024,638103
Karangkobar,unggas,Itik Biasa,2024,12
Karangkobar,unggas,Itik Manila,2024,27
Madukara,besar,Sapi Perah,2018,0
Madukara,besar,Sapi,2018,648
Madukara,besar,Kerbau,2018,17
Madukara,besar,Kuda,2018,4
Madukara,kecil,Kambing,2018,9069
Madukara,kecil,Domba,2018,1840
Madukara,kecil,Babi,2018,0
Madukara,kecil,Kelinci,2018,708
Madukara,unggas,Ayam Kampung,2018,7301
Madukara,unggas,Ayam Ras Layer,2018,61500
Madukara,unggas,Ayam Broiler,2018,29000
Madukara,unggas,Itik Biasa,2018,419
Madukara,unggas,Itik Manila,2018,291
Madukara,besar,Sapi,2019,708
Madukara,besar,Kerbau,2019,11
Madukara,besar,Kuda,2019,4
Madukara,kecil,Kambing,2019,9273
Madukara,kecil,Domba,2019,1851
Madukara,kecil,Babi,2019,10
Madukara,kecil,Kelinci,2019,1287
Madukara,unggas,Ayam Kampung,2019,7476
Madukara,unggas,Ayam Ras Layer,2019,64500
Madukara,unggas,Ayam Broiler,2019,9500
Madukara,unggas,Itik Biasa,2019,374
Madukara,unggas,Itik Manila,2019,727
Madukara,besar,Sapi Perah,2020,0
Madukara,besar,Sapi,2020,821
Madukara,besar,Kerbau,2020,11
Madukara,besar,Kuda,2020,4
Madukara,kecil,Kambing,2020,9645
Madukara,kecil,Domba,2020,2062
Madukara,kecil,Babi,2020,10
Madukara,kecil,Kelinci,2020,1287
Madukara,unggas,Ayam Kampung,2020,7616
Madukara,unggas,Ayam Ras Layer,2020,64500
Madukara,unggas,Ayam Broiler,2020,9500
Madukara,unggas,Itik Biasa,2020,374
Madukara,unggas,Itik Manila,2020,727
Madukara,besar,Sapi Perah,2021,0
Madukara,besar,Sapi,2021,875
Madukara,besar,Kerbau,2021,11
Madukara,besar,Kuda,2021,4
Madukara,kecil,Kambing,2021,10227
Madukara,kecil,Domba,2021,2113.61
Madukara,kecil,Babi,2021,10
Madukara,kecil,Kelinci,2021,1297
Madukara,unggas,Ayam Kampung,2021,8372
Madukara,unggas,Ayam Ras Layer,2021,64846
Madukara,unggas,Ayam Broiler,2021,42000
Madukara,unggas,Itik Biasa,2021,378
Madukara,unggas,Itik Manila,2021,728
Madukara,besar,Sapi Perah,2022,0
Madukara,besar,Sapi,2022,680
Madukara,besar,Kerbau,2022,11
Madukara,besar,Kuda,2022,4
Madukara,kecil,Kambing,2022,10303
Madukara,kecil,Domba,2022,2190
Madukara,kecil,Babi,2022,9
Madukara,kecil,Kelinci,2022,1286
Madukara,unggas,Ayam Kampung,2022,7751
Madukara,unggas,Ayam Ras Layer,2022,64872
Madukara,unggas,Ayam Broiler,2022,41308
Madukara,unggas,Itik Biasa,2022,331
Madukara,unggas,Itik Manila,2022,738
Madukara,besar,Sapi Perah,2023,0
Madukara,besar,Sapi,2023,523
Madukara,besar,Kerbau,2023,7
Madukara,besar,Kuda,2023,4
Madukara,kecil,Kambing,2023,10530
Madukara,kecil,Domba,2023,2215
Madukara,kecil,Babi,2023,9
Madukara,kecil,Kelinci,2023,1242
Madukara,unggas,Ayam Kampung,2023,7751
Madukara,unggas,Ayam Ras Layer,2023,64872
Madukara,unggas,Ayam Broiler,2023,41308
Madukara,unggas,Itik Biasa,2023,331
Madukara,unggas,Itik Manila,2023,738
Madukara,besar,Sapi Perah,2024,0
Madukara,besar,Sapi,2024,872
Madukara,besar,Kerbau,2024,2
Madukara,besar,Kuda,2024,4
Madukara,kecil,Kambing,2024,5178
Madukara,kecil,Domba,2024,1073
Madukara,kecil,Kelinci,2024,1043
Madukara,unggas,Ayam Kampung,2024,19645
Madukara,unggas,Ayam Ras Layer,2024,28390
Madukara,unggas,Ayam Broiler,2024,45053
Madukara,unggas,Itik Biasa,2024,2140
Madukara,unggas,Itik Manila,2024,905
Mandiraja,besar,Sapi Perah,2018,0
Mandiraja,besar,Sapi,2018,775
Mandiraja,besar,Kerbau,2018,12
Mandiraja,besar,Kuda,2018,0
Mandiraja,kecil,Kambing,2018,7160
Mandiraja,kecil,Domba,2018,360
Mandiraja,kecil,Babi,2018,0
Mandiraja,kecil,Kelinci,2018,710
Mandiraja,unggas,Ayam Kampung,2018,30000
Mandiraja,unggas,Ayam Ras Layer,2018,18000
Mandiraja,unggas,Ayam Broiler,2018,616000
Mandiraja,unggas,Itik Biasa,2018,16000
Mandiraja,unggas,Itik Manila,2018,3000
Mandiraja,besar,Sapi,2019,687
Mandiraja,besar,Kerbau,2019,12
Mandiraja,besar,Kuda,2019,1
Mandiraja,kecil,Kambing,2019,8070
Mandiraja,kecil,Domba,2019,421
Mandiraja,kecil,Babi,2019,12
Mandiraja,kecil,Kelinci,2019,746
Mandiraja,unggas,Ayam Kampung,2019,40055
Mandiraja,unggas,Ayam Ras Layer,2019,38030
Mandiraja,unggas,Ayam Broiler,2019,101000
